date,open,high,low,close,volume
2018-06-27 21:07:00,7.6602,7.6602,7.6602,7.6602,1405.0
2018-06-27 21:06:00,7.671,7.671,7.6581,7.659,2452.29817131
2018-06-27 21:05:00,7.673,7.673,7.671,7.671,1498.716444
2018-06-27 21:04:00,7.6753,7.6753,7.673,7.673,309.79
2018-06-27 21:03:00,7.6815,7.682,7.68,7.68,5108.04721085
2018-06-27 21:02:00,7.681,7.684,7.681,7.6819,3324.50016502
2018-06-27 21:01:00,7.6752,7.6809,7.6752,7.6809,1243.27750027
2018-06-27 21:00:00,7.6747,7.6759,7.671,7.6759,2833.97902833
2018-06-27 20:59:00,7.671,7.6802,7.671,7.6747,15330.52613959
2018-06-27 20:58:00,7.6698,7.673,7.6697,7.6705,907.42628363
2018-06-27 20:57:00,7.6579,7.6797,7.6579,7.6742,16508.08388155
2018-06-27 20:56:00,7.651,7.6589,7.651,7.658,7159.36734008
2018-06-27 20:55:00,7.6488,7.6524,7.6488,7.6514,576.44148729
2018-06-27 20:54:00,7.6414,7.6486,7.64,7.6486,1860.09667162
2018-06-27 20:53:00,7.6413,7.6413,7.637,7.6405,380.41205309
2018-06-27 20:52:00,7.64,7.6414,7.6361,7.6413,4793.03105
2018-06-27 20:51:00,7.6467,7.6467,7.64,7.64,1424.95769205
2018-06-27 20:50:00,7.6489,7.6489,7.6397,7.6397,4887.53008984
2018-06-27 20:49:00,7.6441,7.6501,7.643,7.643,887.47904597
2018-06-27 20:48:00,7.64,7.6441,7.64,7.643,1151.16629395
2018-06-27 20:47:00,7.64,7.64,7.6399,7.6399,145.97239497
2018-06-27 20:46:00,7.6352,7.64,7.6352,7.64,644.0483
2018-06-27 20:45:00,7.6289,7.6352,7.6289,7.6352,1057.78271746
2018-06-27 20:44:00,7.6351,7.6351,7.632,7.632,1594.50915317
2018-06-27 20:43:00,7.65,7.65,7.633,7.6338,652.51015847
2018-06-27 20:42:00,7.6417,7.6501,7.6417,7.6501,386.3064
2018-06-27 20:41:00,7.6484,7.6501,7.6368,7.6368,2161.8205
